theta,dtheta,surrate,initialGuess,a
0.0130899693899574,0.0087266462599716,0.00025,20.0,473.8483528507554
0.0130899693899574,0.0087266462599716,0.00075,20.0,264.1170074177154
0.0130899693899574,0.0087266462599716,0.00125,20.0,201.0184517131012
0.0130899693899574,0.0087266462599716,0.00175,20.0,167.83558038122584
0.0130899693899574,0.0087266462599716,0.00225,20.0,146.62205353443633
0.0130899693899574,0.0087266462599716,0.00275,20.0,131.59063197565254
0.0130899693899574,0.0087266462599716,0.00325,20.0,120.23537141404135
0.0130899693899574,0.0087266462599716,0.00375,20.0,111.2729704572876
0.0130899693899574,0.0087266462599716,0.00425,20.0,103.96979515964054
0.0130899693899574,0.0087266462599716,0.00475,20.0,97.87229894679685
0.0130899693899574,0.0087266462599716,0.00525,20.0,92.6831345629894
0.0130899693899574,0.0087266462599716,0.00575,20.0,88.19823168154883
0.0130899693899574,0.0087266462599716,0.00625,20.0,84.27229920604798
0.0130899693899574,0.0087266462599716,0.00675,20.0,80.79873116061722
0.0130899693899574,0.0087266462599716,0.00725,20.0,78.28519555615543
0.0130899693899574,0.0087266462599716,0.00775,20.0,74.90637950032989
0.0130899693899574,0.0087266462599716,0.00825,20.0,72.37765621859151
0.0130899693899574,0.0087266462599716,0.00875,20.0,70.07273516667948
0.0130899693899574,0.0087266462599716,0.00925,20.0,67.96063173178739
0.0130899693899574,0.0087266462599716,0.00975,20.0,66.01603743861871
0.0218166156499291,0.0087266462599716,0.00025,20.0,473.9060988623394
0.0218166156499291,0.0087266462599716,0.00075,20.0,264.14935761501687
0.0218166156499291,0.0087266462599716,0.00125,20.0,201.0431615185856
0.0218166156499291,0.0087266462599716,0.00175,20.0,167.85627220826862
0.0218166156499291,0.0087266462599716,0.00225,20.0,146.6401767175651
0.0218166156499291,0.0087266462599716,0.00275,20.0,131.6069350873949
0.0218166156499291,0.0087266462599716,0.00325,20.0,120.25029958886476
0.0218166156499291,0.0087266462599716,0.00375,20.0,111.28681343830932
0.0218166156499291,0.0087266462599716,0.00425,20.0,103.98275385640537
0.0218166156499291,0.0087266462599716,0.00475,20.0,97.8845193502917
0.0218166156499291,0.0087266462599716,0.00525,20.0,92.69472665937651
0.0218166156499291,0.0087266462599716,0.00575,20.0,88.20928074679668
0.0218166156499291,0.0087266462599716,0.00625,20.0,84.28287292333108
0.0218166156499291,0.0087266462599716,0.00675,20.0,80.8088843045772
0.0218166156499291,0.0087266462599716,0.00725,20.0,78.2952763341391
0.0218166156499291,0.0087266462599716,0.00775,20.0,74.91581921612807
0.0218166156499291,0.0087266462599716,0.00825,20.0,72.38678976738922
0.0218166156499291,0.0087266462599716,0.00875,20.0,70.08158964741337
0.0218166156499291,0.0087266462599716,0.00925,20.0,67.96923049159987
0.0218166156499291,0.0087266462599716,0.00975,20.0,66.02439993045311
0.0305432619099007,0.0087266462599716,0.00025,20.0,473.99273986647086
0.0305432619099007,0.0087266462599716,0.00075,20.0,264.19789522824533
0.0305432619099007,0.0087266462599716,0.00125,20.0,201.0802356349915
0.0305432619099007,0.0087266462599716,0.00175,20.0,167.8873178271521
0.0305432619099007,0.0087266462599716,0.00225,20.0,146.6673683925532
0.0305432619099007,0.0087266462599716,0.00275,20.0,131.63139596229928
0.0305432619099007,0.0087266462599716,0.00325,20.0,120.2726975348723
0.0305432619099007,0.0087266462599716,0.00375,20.0,111.30758318041642
0.0305432619099007,0.0087266462599716,0.00425,20.0,104.00219683542606
0.0305432619099007,0.0087266462599716,0.00475,20.0,97.90285460829294
0.0305432619099007,0.0087266462599716,0.00525,20.0,92.71211921747916
0.0305432619099007,0.0087266462599716,0.00575,20.0,88.22585855142277
0.0305432619099007,0.0087266462599716,0.00625,20.0,84.29873752501294
0.0305432619099007,0.0087266462599716,0.00675,20.0,80.82411788613304
0.0305432619099007,0.0087266462599716,0.00725,20.0,78.31040150845277
0.0305432619099007,0.0087266462599716,0.00775,20.0,74.92998238378794
0.0305432619099007,0.0087266462599716,0.00825,20.0,72.40049356796791
0.0305432619099007,0.0087266462599716,0.00875,20.0,70.09487473963391
0.0305432619099007,0.0087266462599716,0.00925,20.0,67.98213190506547
0.0305432619099007,0.0087266462599716,0.00975,20.0,66.03694690179903
0.0392699081698724,0.0087266462599716,0.00025,20.0,474.1083022659436
0.0392699081698724,0.0087266462599716,0.00075,20.0,264.2626350486008
0.0392699081698724,0.0087266462599716,0.00125,20.0,201.1296853601307
0.0392699081698724,0.0087266462599716,0.00175,20.0,167.92872669855555
0.0392699081698724,0.0087266462599716,0.00225,20.0,146.7036368456196
0.0392699081698724,0.0087266462599716,0.00275,20.0,131.6640220543905
0.0392699081698724,0.0087266462599716,0.00325,20.0,120.30257207742196
0.0392699081698724,0.0087266462599716,0.00375,20.0,111.33528601277804
0.0392699081698724,0.0087266462599716,0.00425,20.0,104.02813002154431
0.0392699081698724,0.0087266462599716,0.00475,20.0,97.92731030806584
0.0392699081698724,0.0087266462599716,0.00525,20.0,92.73531753727512
0.0392699081698724,0.0087266462599716,0.00575,20.0,88.24797014710771
0.0392699081698724,0.0087266462599716,0.00625,20.0,84.31989784542392
0.0392699081698724,0.0087266462599716,0.00675,20.0,80.84443654730931
0.0392699081698724,0.0087266462599716,0.00725,20.0,78.32862617403434
0.0392699081698724,0.0087266462599716,0.00775,20.0,74.94887331911936
0.0392699081698724,0.0087266462599716,0.00825,20.0,72.41877179614173
0.0392699081698724,0.0087266462599716,0.00875,20.0,70.11259449155003
0.0392699081698724,0.0087266462599716,0.00925,20.0,67.99933990346292
0.0392699081698724,0.0087266462599716,0.00975,20.0,66.05368223133155
0.047996554429844,0.0087266462599716,0.00025,20.0,474.2528212956573
0.047996554429844,0.0087266462599716,0.00075,20.0,264.3435968151485
0.047996554429844,0.0087266462599716,0.00125,20.0,201.1915257710918
0.047996554429844,0.0087266462599716,0.00175,20.0,167.98051144788857
0.047996554429844,0.0087266462599716,0.00225,20.0,146.74899313483974
0.047996554429844,0.0087266462599716,0.00275,20.0,131.7048233111696
0.047996554429844,0.0087266462599716,0.00325,20.0,120.33993232504976
0.047996554429844,0.0087266462599716,0.00375,20.0,111.36993038175945
0.047996554429844,0.0087266462599716,0.00425,20.0,104.06056132154478
0.047996554429844,0.0087266462599716,0.00475,20.0,97.9578939058946
0.047996554429844,0.0087266462599716,0.00525,20.0,92.76432869165907
0.047996554429844,0.0087266462599716,0.00575,20.0,88.27562227539042
0.047996554429844,0.0087266462599716,0.00625,20.0,84.34636033604585
0.047996554429844,0.0087266462599716,0.00675,20.0,80.86984648295316
0.047996554429844,0.0087266462599716,0.00725,20.0,77.76579699835202
0.047996554429844,0.0087266462599716,0.00775,20.0,74.97249778163128
0.047996554429844,0.0087266462599716,0.00825,20.0,72.4416300245934
0.047996554429844,0.0087266462599716,0.00875,20.0,70.13475430555346
0.047996554429844,0.0087266462599716,0.00925,20.0,68.02085973313918
0.047996554429844,0.0087266462599716,0.00975,20.0,66.07461109396365
0.0567232006898157,0.0087266462599716,0.00025,20.0,474.4263410493966
0.0567232006898157,0.0087266462599716,0.00075,20.0,264.4408052298194
0.0567232006898157,0.0087266462599716,0.00125,20.0,201.2657757356988
0.0567232006898157,0.0087266462599716,0.00175,20.0,168.04268787488633
0.0567232006898157,0.0087266462599716,0.00225,20.0,146.80345109855017
0.0567232006898157,0.0087266462599716,0.00275,20.0,131.75381218117377
0.0567232006898157,0.0087266462599716,0.00325,20.0,120.38478967639264
0.0567232006898157,0.0087266462599716,0.00375,20.0,111.4115268573414
0.0567232006898157,0.0087266462599716,0.00425,20.0,104.09950063016409
0.0567232006898157,0.0087266462599716,0.00475,20.0,97.99461473274904
0.0567232006898157,0.0087266462599716,0.00525,20.0,92.79916153181854
0.0567232006898157,0.0087266462599716,0.00575,20.0,88.30882337279175
0.0567232006898157,0.0087266462599716,0.00625,20.0,84.37813307041534
0.0567232006898157,0.0087266462599716,0.00675,20.0,80.90035544544249
0.0567232006898157,0.0087266462599716,0.00725,20.0,77.795177593675
0.0567232006898157,0.0087266462599716,0.00775,20.0,75.00086297890914
0.0567232006898157,0.0087266462599716,0.00825,20.0,72.46907522710961
0.0567232006898157,0.0087266462599716,0.00875,20.0,70.16136094232488
0.0567232006898157,0.0087266462599716,0.00925,20.0,68.04669795949638
0.0567232006898157,0.0087266462599716,0.00975,20.0,66.0997399657818
0.0654498469497873,0.0087266462599716,0.00025,20.0,474.6289145133754
0.0654498469497873,0.0087266462599716,0.00075,20.0,264.5542899762036
0.0654498469497873,0.0087266462599716,0.00125,20.0,201.35245792686567
0.0654498469497873,0.0087266462599716,0.00175,20.0,168.11527496562985
0.0654498469497873,0.0087266462599716,0.00225,20.0,146.8670273658763
0.0654498469497873,0.0087266462599716,0.00275,20.0,131.81100362344736
0.0654498469497873,0.0087266462599716,0.00325,20.0,120.4371578288601
0.0654498469497873,0.0087266462599716,0.00375,20.0,111.46008814116136
0.0654498469497873,0.0087266462599716,0.00425,20.0,104.1449598376188
0.0654498469497873,0.0087266462599716,0.00475,20.0,98.03748400138365
0.0654498469497873,0.0087266462599716,0.00525,20.0,92.83982669396715
0.0654498469497873,0.0087266462599716,0.00575,20.0,88.34758357723281
0.0654498469497873,0.0087266462599716,0.00625,20.0,84.41522575026595
0.0654498469497873,0.0087266462599716,0.00675,20.0,80.93597275058372
0.0654498469497873,0.0087266462599716,0.00725,20.0,77.82947760064637
0.0654498469497873,0.0087266462599716,0.00775,20.0,75.03397757209825
0.0654498469497873,0.0087266462599716,0.00825,20.0,72.50111578388653
0.0654498469497873,0.0087266462599716,0.00875,20.0,70.19242252597701
0.0654498469497873,0.0087266462599716,0.00925,20.0,68.07686247198718
0.0654498469497873,0.0087266462599716,0.00975,20.0,66.12907661076956
0.074176493209759,0.0087266462599716,0.00025,20.0,474.8606036065983
0.074176493209759,0.0087266462599716,0.00075,20.0,264.6840857421603
0.074176493209759,0.0087266462599716,0.00125,20.0,201.4515988398664
0.074176493209759,0.0087266462599716,0.00175,20.0,168.19829490700766
0.074176493209759,0.0087266462599716,0.00225,20.0,146.939741369399
0.074176493209759,0.0087266462599716,0.00275,20.0,131.8764151189359
0.074176493209759,0.0087266462599716,0.00325,20.0,120.49705278906772
0.074176493209759,0.0087266462599716,0.00375,20.0,111.51562907618876
0.074176493209759,0.0087266462599716,0.00425,20.0,104.19695283866233
0.074176493209759,0.0087266462599716,0.00475,20.0,98.0865148148782
0.074176493209759,0.0087266462599716,0.00525,20.0,92.88633660744696
0.074176493209759,0.0087266462599716,0.00575,20.0,88.39191473575718
0.074176493209759,0.0087266462599716,0.00625,20.0,84.45764971291806
0.074176493209759,0.0087266462599716,0.00675,20.0,80.97670928470794
0.074176493209759,0.0087266462599716,0.00725,20.0,77.86870750292654
0.074176493209759,0.0087266462599716,0.00775,20.0,75.07185168250109
0.074176493209759,0.0087266462599716,0.00825,20.0,72.53776148791319
0.074176493209759,0.0087266462599716,0.00875,20.0,70.22794855024317
0.074176493209759,0.0087266462599716,0.00925,20.0,68.11136249012394
0.074176493209759,0.0087266462599716,0.00975,20.0,66.16263012200216
0.0829031394697306,0.0087266462599716,0.00025,20.0,475.1214792280943
0.0829031394697306,0.0087266462599716,0.00075,20.0,264.83023224627976
0.0829031394697306,0.0087266462599716,0.00125,20.0,201.5632288125465
0.0829031394697306,0.0087266462599716,0.00175,20.0,168.29177310364136
0.0829031394697306,0.0087266462599716,0.00225,20.0,147.02161535997865
0.0829031394697306,0.0087266462599716,0.00275,20.0,131.95006668382172
0.0829031394697306,0.0087266462599716,0.00325,20.0,120.56449288504795
0.0829031394697306,0.0087266462599716,0.00375,20.0,111.57816665804782
0.0829031394697306,0.0087266462599716,0.00425,20.0,104.25549554318442
0.0829031394697306,0.0087266462599716,0.00475,20.0,98.14172217663383
0.0829031394697306,0.0087266462599716,0.00525,20.0,92.93870550420984
0.0829031394697306,0.0087266462599716,0.00575,20.0,88.44183041356844
0.0829031394697306,0.0087266462599716,0.00625,20.0,84.50541793992785
0.0829031394697306,0.0087266462599716,0.00675,20.0,81.02257751297554
0.0829031394697306,0.0087266462599716,0.00725,20.0,77.91287930460653
0.0829031394697306,0.0087266462599716,0.00775,20.0,75.11449689929854
0.0829031394697306,0.0087266462599716,0.00825,20.0,72.57902355244211
0.0829031394697306,0.0087266462599716,0.00875,20.0,70.26794988571956
0.0829031394697306,0.0087266462599716,0.00925,20.0,68.15020857051206
0.0829031394697306,0.0087266462599716,0.00975,20.0,66.20041084886127
0.0916297857297023,0.0087266462599716,0.00025,20.0,475.4116213110924
0.0916297857297023,0.0087266462599716,0.00075,20.0,264.99277426823227
0.0916297857297023,0.0087266462599716,0.00125,20.0,201.68738204850507
0.0916297857297023,0.0087266462599716,0.00175,20.0,168.39573819729725
0.0916297857297023,0.0087266462599716,0.00225,20.0,147.11267442375745
0.0916297857297023,0.0087266462599716,0.00275,20.0,132.0319808848186
0.0916297857297023,0.0087266462599716,0.00325,20.0,120.63949878025464
0.0916297857297023,0.0087266462599716,0.00375,20.0,111.64772004800432
0.0916297857297023,0.0087266462599716,0.00425,20.0,104.32060588836832
0.0916297857297023,0.0087266462599716,0.00475,20.0,98.20312300183696
0.0916297857297023,0.0087266462599716,0.00525,20.0,92.99694942969248
0.0916297857297023,0.0087266462599716,0.00575,20.0,88.49734590439573
0.0916297857297023,0.0087266462599716,0.00625,20.0,84.55854506700642
0.0916297857297023,0.0087266462599716,0.00675,20.0,81.07359148890109
0.0916297857297023,0.0087266462599716,0.00725,20.0,77.96200653938051
0.0916297857297023,0.0087266462599716,0.00775,20.0,75.1619262884053
